FEGR,NAME,TYPE,SLABFLAG,SCRFLAG,SPLITFLAG,H1,GMPE1,H2,GMPE2,H3,GMPE3,GMPE_WARNING
233, NEAR S. COAST OF WESTERN HONSHU,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
234, NORTHWEST OF RYUKYU ISLANDS,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
235," KYUSHU, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
236," SHIKOKU, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
237," SOUTHEAST OF SHIKOKU, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
238," RYUKYU ISLANDS, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
239, SOUTHEAST OF RYUKYU ISLANDS,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
240, WEST OF BONIN ISLANDS,42,-,0,0,40,SOR,999,SZIntra,-,-,-
241, PHILIPPINE SEA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
242, NEAR COAST OF SOUTHEASTERN CHINA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
243, TAIWAN REGION,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
244, TAIWAN,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
245, NORTHEAST OF TAIWAN,34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
246," SOUTHWESTERN RYUKYU ISL., JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
247, SOUTHEAST OF TAIWAN,31,-,0,0,65,SZOuter,999,SZIntra,-,-,-
248, PHILIPPINE ISLANDS REGION,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
249," LUZON, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
250," MINDORO, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
251," SAMAR, PHILIPPINES",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
252," PALAWAN, PHILIPPINES",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
253, SULU SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
254," PANAY, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
255," CEBU, PHILIPPINES",34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
256," LEYTE, PHILIPPINES",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
257," NEGROS, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
258," SULU ARCHIPELAGO, PHILIPPINES",21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
259," MINDANAO, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
260, EAST OF PHILIPPINE ISLANDS,31,-,0,0,65,SZOuter,999,SZIntra,-,-,-
261, BORNEO,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
262, CELEBES SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
263," TALAUD ISLANDS, INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
264," NORTH OF HALMAHERA, INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
265," MINAHASSA PENINSULA, SULAWESI",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
266, NORTHERN MOLUCCA SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
